available;categoryId;currencyId;description;id;local_delivery_cost;modified_time;name;oldprice;param;picture;price;type;url;vendor
true;Blouses & Shirts;USD;"Style:Chic
Type:Blouses
Material:100%Polyester
Neckline:Round Neck
Sleeve Style:Long Sleeve
Length:Regular
Pattern Type:Baroque,Colorblock
Decoration:Others
Fit Type:Regular
Occasion:Daily
Package Include:1*Blouse
Fabric Elasticity:Slight Stretch
Sleeve Type:Batwing Sleeve
Sheer:No
Care Instructions:Machine wash or professional dry clean


 
 
  About this Item
  
   Lightweight, pretty soft and smooth. 
   Featuring a classic colorblock and baroque print paired with a trendy round neck. 
   This solid batwing sleeve shirt for summer and fall pair well with skinny jeans, skirt, pants, high heels, etc. 
   Suit for street wear, shows, party and daily life.
   
 
";e956be9d-cd15-4560-a9fe-d543efa98e22;0.0;1727873174;Colorblock Baroque Print Batwing Sleeve Top;26.0;color:yellow|size:S,L,M;https://image.geeko.ltd/original/e956be9d-cd15-4560-a9fe-d543efa98e22;13.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3De956be9d-cd15-4560-a9fe-d543efa98e22%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Tanks & Crop Tops;USD;"Style:Sexy
Type:Tank
Material:95%Polyester,5%Elastane
Neckline:U-Neck
Sleeve Style:Sleeveless
Length:Regular
Pattern Type:Graphic,Letter
Decoration:Bowknot
Fit Type:Skinny
Occasion:Daily
Package Include:1*Tank
Fabric Elasticity:Non-Stretch
Sheer:No
Care Instructions:Machine wash or professional dry clean


 
 
  About this item 
   
   Stretchy, comfortable without any sagging or bagging. 
   Tight-fitting, show your curves with a more shapely bust and an hourglass figure. 
   Unique and bold Lip graphic, with a cute butterfly bow at the back. 
   Casual and Stylish, can easily paired with various outfits. 
   Multi-item discounts Offered! Get 2 For 10% Off, Get 3 for 15% Off ! 
   
 
";920fb546-27f3-4027-9e63-c8411494ff27;0.0;1727873174;Letter Poker Print Sleeveless Bowknot Decor Top;13.0;color:white|size:L,M;https://image.geeko.ltd/original/920fb546-27f3-4027-9e63-c8411494ff27;10.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D920fb546-27f3-4027-9e63-c8411494ff27%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Flats-Sandals;USD;"Style:Chic
Type:Flat Sandals
Pattern Type:Star
Decoration:Fringe,Zipper
Occasion:Daily
Toe:Round Toe,Toe Post
Heel Height:Flat
Package Include:1*Sandals


 
 
";67327014-9d37-4631-9596-8f3000534f46;0.0;1727873174;Star Print Studded Fringe Hem Sandals;;color:beige|size:US8.5,US9.5,US7,US6,US11,US10,US8;https://image.geeko.ltd/original/67327014-9d37-4631-9596-8f3000534f46;29.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D67327014-9d37-4631-9596-8f3000534f46%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Flats-Sandals;USD;"Style:Chic
Type:Flat Sandals
Pattern Type:Star
Decoration:Fringe,Zipper
Occasion:Daily
Toe:Round Toe,Toe Post
Heel Height:Flat
Package Include:1*Sandals


 
 
";7f485e4d-1049-431f-83d3-8fbb797c71a1;0.0;1727873174;Star Print Studded Fringe Hem Sandals;;color:black|size:US8.5,US9.5,US11,US6,US10,US8;https://image.geeko.ltd/original/7f485e4d-1049-431f-83d3-8fbb797c71a1;29.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D7f485e4d-1049-431f-83d3-8fbb797c71a1%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Babydolls;USD;"Style:Romantic,Sexy
Type:Babydolls
Material:Polyester
Neckline:Low Cut
Sleeve Style:Spaghetti Strap
Length:Mini
Pattern Type:Polka Dot
Decoration:Backless,Bowknot,Contrast Lace,Sheer Mesh
Fit Type:Skinny
Occasion:Home
Package Include:1*Babydoll(With Panty)
Fabric Elasticity:Slight Stretch
Sheer:Semi-Sheer
Care Instructions:Hand wash, do not dry clean


 
 
";f4b728c4-c599-4e49-9c4e-6dcb645012cd;0.0;1727873174;Dot Mesh Contrast Lace Backless Babydoll;;color:black|size:M,XXL;https://image.geeko.ltd/original/f4b728c4-c599-4e49-9c4e-6dcb645012cd;17.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3Df4b728c4-c599-4e49-9c4e-6dcb645012cd%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Sweaters & Cardigans;USD;"Style:Chic
Type:Sweater
Material:100%Acrylic
Neckline:Round Neck
Sleeve Style:Long Sleeve
Length:Regular
Pattern Type:Plain
Decoration:Button,Zipper
Fit Type:Regular
Occasion:Daily
Package Include:1*Sweater
Fabric Elasticity:High Stretch
Sheer:No
Care Instructions:Machine wash, do not dry clean


 
 
  About this Item 
   
   Knit is soft, durable and skin-friendly, has medium elasticity, comfortable and cozy to wear.  
   Slim fit, but not too tight, shapes your curve better, pairs well with jeans, pants, bags, necklaces, sandals, etc.  
   The zipper design can be adjusted at will.  
   Ideal for friends gathering, casual weekends, daily outings,etc. 
   
 
";4fcdc10d-6917-4c5b-96e9-0762a5e8ceda;0.0;1727873174;Crewneck Half Zipper Design Long Sleeve Knit Sweater Casual Pullover Knit Tops;27.0;color:pink|size:S,XL,L,XXL,M;https://image.geeko.ltd/original/4fcdc10d-6917-4c5b-96e9-0762a5e8ceda;25.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D4fcdc10d-6917-4c5b-96e9-0762a5e8ceda%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Sweaters & Cardigans;USD;"Style:Chic
Type:Sweater
Material:100%Acrylic
Neckline:Round Neck
Sleeve Style:Long Sleeve
Length:Regular
Pattern Type:Plain
Decoration:Button,Zipper
Fit Type:Regular
Occasion:Daily
Package Include:1*Sweater
Fabric Elasticity:High Stretch
Sheer:No
Care Instructions:Machine wash, do not dry clean


 
 
  About this Item 
   
   Knit is soft, durable and skin-friendly, has medium elasticity, comfortable and cozy to wear.  
   Slim fit, but not too tight, shapes your curve better, pairs well with jeans, pants, bags, necklaces, sandals, etc.  
   The zipper design can be adjusted at will.  
   Ideal for friends gathering, casual weekends, daily outings,etc. 
   
 
";a0a902ec-902d-4c1a-8ba9-a6bc071e5b1b;0.0;1727873174;Crewneck Half Zipper Design Long Sleeve Knit Sweater Casual Pullover Knit Tops;27.0;color:blue|size:S,XL,L,XXL,M;https://image.geeko.ltd/original/a0a902ec-902d-4c1a-8ba9-a6bc071e5b1b;25.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3Da0a902ec-902d-4c1a-8ba9-a6bc071e5b1b%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Tanks & Crop Tops;USD;"Style:Casual
Type:Tank
Material:90%Polyester,10%Elastane
Neckline:One Shoulder
Sleeve Style:Sleeveless
Length:Regular
Pattern Type:Contrast Paneled,Geometric
Decoration:Others
Fit Type:Skinny
Occasion:Daily
Package Include:1*Top
Fabric Elasticity:Slight Stretch
Sheer:No
Care Instructions:Machine wash or professional dry clean


 
 
";ea719078-23f3-4d7d-ae62-67a3b35ca4df;0.0;1727873174;Geo Tape Patch One Shoulder Top;;color:black|size:S,XL;https://image.geeko.ltd/original/ea719078-23f3-4d7d-ae62-67a3b35ca4df;13.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3Dea719078-23f3-4d7d-ae62-67a3b35ca4df%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Sweaters & Cardigans;USD;"Style:Chic
Type:Sweater
Material:100%Acrylic
Neckline:Round Neck
Sleeve Style:Long Sleeve
Length:Regular
Pattern Type:Plain
Decoration:Button,Zipper
Fit Type:Regular
Occasion:Daily
Package Include:1*Sweater
Fabric Elasticity:High Stretch
Sheer:No
Care Instructions:Machine wash, do not dry clean


 
 
  About this Item 
   
   Knit is soft, durable and skin-friendly, has medium elasticity, comfortable and cozy to wear.  
   Slim fit, but not too tight, shapes your curve better, pairs well with jeans, pants, bags, necklaces, sandals, etc.  
   The zipper design can be adjusted at will.  
   Ideal for friends gathering, casual weekends, daily outings,etc. 
   
 
";5a8a1184-8a57-4a22-a065-cf52bde57353;0.0;1727873174;Crewneck Half Zipper Design Long Sleeve Knit Sweater Casual Pullover Knit Tops;27.0;color:black|size:S,XL,L,M,XXL;https://image.geeko.ltd/original/5a8a1184-8a57-4a22-a065-cf52bde57353;25.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D5a8a1184-8a57-4a22-a065-cf52bde57353%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
true;Two-piece Sets;USD;"Style:Casual
Type:Suit Set
Material:94%Polyester,6%Elastane
Neckline:Open Front,Round Neck
Sleeve Style:Long Sleeve,Sleeveless
Length:Long
Pattern Type:Contrast Paneled,Geometric
Decoration:Drawstring
Fit Type:Regular
Occasion:Daily
Package Include:1*Pants Set(With Coat)
Fabric Elasticity:Slight Stretch
Sheer:No
Care Instructions:Machine wash or professional dry clean


 
 
";627d9afb-a425-4204-8674-797455be8cc0;0.0;1727873174;Geometric Print Tank Top & Striped Drawstring Pants Set With Coat;33.0;color:Apricot|size:XL,XXL;https://image.geeko.ltd/original/627d9afb-a425-4204-8674-797455be8cc0;28.0;;https://rzekl.com/g/gf807z8tar1e88db6f11312b8f391a/?f_id=25181&ulp=https%3A%2F%2Fwww.chicme.com%2Fpc%2Fproduct_detail%3FproductId%3D627d9afb-a425-4204-8674-797455be8cc0%26utm_source%3Dadmitad%26utm_currency%3DUSD;chicme
