available;categoryId;currencyId;delivery;description;id;model;modified_time;name;oldprice;param;pickup;picture;price;sales_notes;store;topseller;type;typePrefix;url;vendor;vendorCode
false;Smart Home & Garden;USD;true;Proscenic T21 Smart Air Fryer 1700W Oil-free With Multi Functions;424628;;1727859893;Proscenic T21 Smart Air Fryer 1700W Oil-free With Multi Functions;199.99;Size:41.0*36.7*37.2;true;https://img.gkbcdn.com/s3/p/2023-06-02/proscenic-t21-smart-electric-air-fryer-black-590c6b-1685701870998.jpg;104.088;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FProscenic-T21-Smart-Electric-Air-Fryer-Black-424628.html;Proscenic;
false;Smart Home & Garden;USD;true;Proscenic T22 Smart Electric Air Fryer/Oil-Free/Non-stick Pan/5L Capacity /1500W/Black;478408;;1727859893;Proscenic T22 Smart Electric Air Fryer/Oil-Free/Non-stick Pan/5L Capacity /1500W/Black;199.99;Size:41.0*36.7*37.2;true;https://img.gkbcdn.com/s3/p/2021-11-16/Proscenic-T22-Oil-Free-Air-Fryer-478408-0.jpg;99.761;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FProscenic-T22-Oil-Free-Air-Fryer-478408.html;Proscenic;
false;Smart Home & Garden;USD;true;Liectroux C30B Robot Vacuum Cleaner 6000Pa Suction;497718;;1727859893;Liectroux C30B Robot Vacuum Cleaner 6000Pa Suction with AI Map Navigation 2500mAh Battery Smart Partition Electric Water Tank APP Control - Black;299.99;Size:57.8*13.5*40.0;true;https://img.gkbcdn.com/s3/p/2023-11-08/liectroux-c30b-robot-vacuum-cleaner-6000pa-suction-55bcfc-1699408548065.jpg;172.414;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FLiectroux-C30B-Robot-Vacuum-Cleaner-6000Pa-Suction-497718.html;Liectroux;
false;Smart Home & Garden;USD;true;EASINE by ILIFE G80 Cordless Handheld Vacuum Cleaner 22Kpa Suction;502887;;1727859893;ILIFE G80 Cordless Handheld Vacuum Cleaner 22Kpa Suction with Spinning Side Brush 2500mAh Battery 45mins Runtime LED Display, with Multiple Brush for Hard Floor, Carpet, Car, Pet Hair, Wall Mount;199.99;Color:White|Size:80.0*15.2*32.5;true;https://img.gkbcdn.com/s3/p/2022-06-14/EASINE-by-ILIFE-G80-Cordless-Stick-Vacuum-Cleaner-502887-0.jpg;86.738;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FEASINE-by-ILIFE-G80-Cordless-Stick-Vacuum-Cleaner-502887.html;ILIFE;
false;Smart Home & Garden;USD;true;Liectroux V3S Pro Robot Vacuum Cleaner, 4000Pa Suction, Dry Wet Mopping, 2D Map Navigation, with Memory, WiFi App Voice Control;516878;;1727859893;Liectroux V3S Pro Robot Vacuum Cleaner, 4000Pa Suction, Dry Wet Mopping, 2D Map Navigation, with Memory, WiFi App Voice Control;187.99;Size:50.0*40.8*16.0;true;https://img.gkbcdn.com/s3/p/2023-11-08/liectroux-v3s-pro-robot-vacuum-cleaner-black-48ccf7-1699408312057.jpg;140.956;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FLiectroux-V3S-Pro-Robot-Vacuum-Cleaner-Black-516878.html;Liectroux;
false;Smart Home & Garden;USD;true;Proscenic T20 1500W Multifunctional Air Fryer,Smart Digital LED Touch-Screen Panel Oil-Free Fryer- EU Plug;518053;;1727859893;Proscenic T20 1500W Multifunctional Air Fryer,Smart Digital LED Touch-Screen Panel Oil-Free Fryer- EU Plug;214.65;Color:Black|Size:34.0*34.0*35.0;true;https://img.gkbcdn.com/s3/p/2022-10-31/Proscenic-T20-1500W-Multifunctional-Air-Fryer-EU-Plug-518053-0.jpg;75.895;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FProscenic-T20-1500W-Multifunctional-Air-Fryer-EU-Plug-518053.html;Proscenic;
false;Smart Home & Garden;USD;true;Geek Chef GTS4B-1 Toaster 4 Slice;519123;;1727859893;Geek Chef GTS4B-1 Toaster 4 Slice, 1650W Stainless Steel Toaster, 1.5 Inch Extra Wide Slots, Dual Control Panels, Auto Pop-Up, 6 Toasting Bread Shade Settings;59.99;Color:Black|Size:63.3*44.5*37.6;true;https://img.gkbcdn.com/s3/p/2023-01-16/Geek-Chef-GTS4B-1-Toaster-4-Slice-519123-0.jpg;53.99;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FGeek-Chef-GTS4B-1-Toaster-4-Slice-519123.html;Geek Chef;
false;Smart Home & Garden;USD;true;Proscenic V10 Robot Vacuum Cleaner;519820;;1727859893;Proscenic V10 Robot Vacuum Cleaner 3 In 1 Vacuuming Sweeping and Mopping 3000pa Vibrating Mopping System LDS Navigation 240ml Dust Bin 2600mAh Battery 120Mins Runtime Smart APP & Alexa Control - Black;299.99;Size:47.0*13.0*36.5;true;https://img.gkbcdn.com/s3/p/2023-11-06/proscenic-v10-robot-vacuum-cleaner-d57e3c-1699238829946.jpg;206.018;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FProscenic-V10-Robot-Vacuum-Cleaner-519820.html;Proscenic;
false;Smart Home & Garden;USD;true;ILIFE T10s Robot Vacuum Cleaner Gradient Blue;520223;;1727859893;ILIFE T10s Robot Vacuum Cleaner, 2 in 1 Vacuum and Mop, Self-Emptying Station, 3000Pa Suction, 2.5L Dust Bag, LDS Navigation, 150 mins Runtime, Save up to 5 Maps, App & Voice Control - Gradient Blue;379.99;Size:38.2*33.8*37.4;true;https://img.gkbcdn.com/s3/p/2023-04-11/ILIFE-T10s-Robot-Vacuum-Cleaner-Gradient-Blue-520223-0.jpg;249.393;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FILIFE-T10s-Robot-Vacuum-Cleaner-Gradient-Blue-520223.html;ILIFE;
false;Smart Home & Garden;USD;true;HiBREW H2B 5-in-1 Coffee Maker;520654;;1727859893;HiBREW H2B 5-in-1 Coffee Maker;;Size:31.5*14.3*27.9;true;https://img.gkbcdn.com/s3/p/2023-05-30/HiBREW-H2B-520654-0.jpg;123.99;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FHiBREW-H2B-5-in-1-Coffee-Maker-White-520654.html;HiBREW;
false;Smart Home & Garden;USD;true;Tesvor M2 Robot Vacuum Cleaner White;520958;;1727859893;Tesvor M2 Robot Vacuum Cleaner with Mop Function, 6000Pa Suction, Gyroscope Navigation, 600ml Dustbin, 150Mins Runtime, 120sqm Max Vacuuming Area, App Control / Remote Control - White;515.19;Size:53.1*35.1*15.2;true;https://img.gkbcdn.com/s3/p/2023-06-20/Tesvor-M2-Robot-Vacuum-Cleaner-White-520958-0.jpg;184.331;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FTesvor-M2-Robot-Vacuum-Cleaner-White-520958.html;Tesvor;
false;Smart Home & Garden;USD;true;Katio Kadio M1 Dog Grooming Vacuum Kit for Shedding Long Hair - Blue;520889;;1727859893;Katio Kadio M1 Dog Grooming Vacuum Kit for Shedding Long Hair - Blue;149.99;Size:46.4*33.4*21.6;true;https://img.gkbcdn.com/s3/p/2023-06-15/Katio-Kadio-M1-Dog-Grooming-Vacuum-Kit-Blue-520889-0.jpg;106.99;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FKatio-Kadio-M1-Dog-Grooming-Vacuum-Kit-Blue-520889.html;Katio Kadio;
false;Smart Home & Garden;USD;true;Tesvor S7 Pro Robot Vacuum Cleaner White;520957;;1727859893;Tesvor S7 Pro Robot Vacuum Cleaner with Mop Function, 6000Pa Suction, Laser Navigation, 600ml Dustbin, 180Mins Runtime, 150sqm Max Vacuuming Area, App Control / Remote Control - White;299.99;Size:53.1*35.3*15.4;true;https://img.gkbcdn.com/s3/p/2023-06-20/Tesvor-S7-Pro-Robot-Vacuum-Cleaner-White-520957-0.jpg;248.319;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FTesvor-S7-Pro-Robot-Vacuum-Cleaner-White-520957.html;Tesvor;
false;Consumer Electronics;USD;true;Wanbo T2 Max NEW LCD Projector Blue;520673;;1727859893;Wanbo T2 Max NEW LCD Projector, Native 1080P, Full-sealed Optical Engine, 450 ANSI Lumens, Android 9.0, AI Auto Focus & Keystone Correction, Netflix YouTube Preinstalled - Blue;219.98;Size:25.0*21.0*17.0;true;https://img.gkbcdn.com/s3/p/2023-05-30/Wanbo-T2-Max-NEW-LCD-Projector-Blue-520673-0.jpg;172.414;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FWanbo-T2-Max-NEW-LCD-Projector-Blue-520673.html;Wanbo;
false;Smart Home & Garden;USD;true;INSE P20 Dog Clipper with Pet Hair Vacuum Cleaner With 5 Proven Care Tools;521459;;1727859893;INSE P20 Dog Clipper with Pet Hair Vacuum Cleaner With 5 Proven Care Tools;132.99;Color:White|Size:46.0*35.0*21.5;true;https://img.gkbcdn.com/s3/p/2023-08-01/INSE-P20-5-in-1-Dog-Clipper-Vacuum-521459-0.jpg;129.039;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FINSE-P20-5-in-1-Dog-Clipper-Vacuum-521459.html;Other;
false;Smart Home & Garden;USD;true;KRD-Q20 2 in 1 Under Desk Treadmill Black Wood Grain;521592;;1727859893;KRD-Q20 2 in 1 Under Desk Treadmill with Bluetooth Music, 2.5HP Motor, 265 LBS Load-Bearing, 1-6KM/H Speed, P1-P12 Program, LED Display, Remote Control - Black Wood Grain;299.99;Size:132.0*64.5*15.8;true;https://img.gkbcdn.com/s3/p/2023-08-09/KRD-Q20-2-in-1-Under-Desk-Treadmill-Black-Wood-Grain-521592-0.jpg;209;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FKRD-Q20-2-in-1-Under-Desk-Treadmill-Black-Wood-Grain-521592.html;Other;
false;Smart Home & Garden;USD;true;Vactidy V9 Cordless Vacuum Cleaner;521838;;1727859893;Vactidy V9 Cordless Vacuum Cleaner, 25KPa Suction 1L Dustbin 5 Layers Filtration System 2200mAh Removable Battery Up to 45min Runtime One-Button Emptying LED Touch Panel with LED Headlights;179.99;Color:Black|Size:47.5*32.0*22.0;true;https://img.gkbcdn.com/s3/p/2023-08-23/Vactidy-V9-Cordless-Vacuum-Cleaner-521838-0.jpg;108.426;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FVactidy-V9-Cordless-Vacuum-Cleaner-521838.html;Vactidy;
false;Consumer Electronics;USD;true;Wanbo X5 Projector 1100 ANSI Lumens Native1080P;521991;;1727859893;Wanbo X5 1100 ANSI Lumens LCD Projector, Native 1080P, 4K Decoding, HDR10, Android 9.0, Auto Focus & Auto-keystone Correction, Dual-band WiFi 6, Bluetooth 5.0, Apple Airplay, Android / Windows Projection;304.04;Size:30.3*15.6*31.0;true;https://img.gkbcdn.com/s3/p/2023-09-14/wanbo-x5-projector-1100-ansi-lumens-native1080p-32c382-1694685165108.jpg;219;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FWanbo-X5-Projector-1100-ANSI-Lumens-Native1080P-521991.html;Wanbo;
false;Consumer Electronics;USD;true;Ultimea Apollo P40 Native 1080P LCD Projector 700LM;520398;;1727859893;Ultimea Apollo P40 Native 1080P LCD Projector 700LM;329.99;Color:Black|Size:40.5*33.5*16.5;true;https://img.gkbcdn.com/s3/p/2023-05-05/Ultimea-Apollo-P40-LCD-Projector-520398-1.jpg;199;;true;true;;;https://bywiola.com/g/78tuvzaw8k1e88db6f110267b86f6e/?f_id=15502&ulp=http%3A%2F%2Fwww.geekbuying.com%2Fitem%2FUltimea-Apollo-P40-LCD-Projector-520398.html;Ultimea;
