available;categoryId;currencyId;delivery;description;id;local_delivery_cost;manufacturer_warranty;modified_time;name;oldprice;param;pickup;picture;price;store;type;url;vendor;vendorCode
true;Eyeglasses;USD;true;This intriguing style features a plastic frame front that comes in a semi-transparent design. ;2713;0.00;true;1727786099;Sunny Cat eye Eyeglasses;;red;false;https://www.glasseslit.com/Public/img/products/B01087/red_0.jpg;10.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fsunny-floral-b01087;Glasseslit;B01087
true;Eyeglasses;USD;true;The cateye glasses with glitter design is suitable for daily use and sunglasses use. It is also durable due to the special for the front frame. Two colors available: brown and blue.;3854;0.00;true;1727786099;200607 Cateye Eyeglasses;;;false;https://www.glasseslit.com/Public/img/products/200607/C5_0.jpg;20.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200607-blue-200607;Glasseslit;200607
true;Eyeglasses;USD;true;The Britney metal cat eye eyeglasses with spring hinge and adjustable nose pads will make it comfortable to wear. The bright color will make you so young.;3597;0.00;true;1727786099;Britney Spring Hinge Cat Eye Eyeglasses;;blue,purple,pink;false;https://www.glasseslit.com/Public/img/products/100245/C8_0.jpg;29.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fbritney-white-100245;Glasseslit;100245
true;Eyeglasses;USD;true;The cateye spring hinge frame has specical design on the front. Made with premium materials, this pair of glasses is suitable for all-day comfort. It is a perfect ornament that makes you look both stylish and pretty. It is casual and lovely, giving away a friendly impression. It is nice for ladies to wear everyday. It comes in three colors: black and clear, floral, tortoiseshell.  ;4210;0.00;true;1727699243;200803 Cateye Spring Hinge Eyeglasses;;tortoiseshell,floral;false;https://www.glasseslit.com/Public/img/products/200803/C3_0.jpg;29.95;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200803-black_and_clear-200803;Glasseslit;200803
true;Sunglasses;USD;true;Available in silver and blue, these delicate metal cat-eyes add a flamboyant yet fashionable touch to any outfit. Glossy finish, adjustable nose pads as well as double nose bridge adds more comfort. Original polarized lens is a plus.;3302;0.00;true;1727612335;Janikia Polarized Cat Eye Sunglasses;25.95;silver,blue;false;https://www.glasseslit.com/Public/img/products/R00329/sliver_0.jpg;5;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fjanikia-silver-r00329;Glasseslit;R00329
true;Eyeglasses;USD;true;Loletta Cateye Eyeglasses have small lenses. The type is suitable with small face.;3662;0.00;true;1727612335;Loletta Cateye Eyeglasses;22.95;tortoiseshell;false;https://www.glasseslit.com/Public/img/products/200485/tortoiseshell_0.jpg;5;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Floletta-tortoiseshell-200485;Glasseslit;200485
true;Eyeglasses;USD;true;There is a convenient way to exchange daily glasses and sunglasses easily. Choose the cateye magneticl clip on frame. With the spring hinges, it is sultaible for all size faces. There is gradient tint on the polazied clip ons. Two colors are available: cameo brown and red.;3844;0.00;true;1727612335;200635 Cateye Spring Hinge Magnetic Clip on Eyeglasses;29.95;cameo brown;false;https://www.glasseslit.com/Public/img/products/200635/C3_0.jpg;17;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2F200635-cameo_brown-200635;Glasseslit;200635
true;Sunglasses;USD;true;These sport sunglasses deliver fashion and function.  These are great for motor sports, cycling, running and more. Adjustable nose pads and spring hingle provide a comfortable fit.;2831;0.00;true;1727612335;Monroe goggle Eyeglasses;33.95;grey;false;https://www.glasseslit.com/Public/img/products/R00335/grey_0.jpg;5;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fmonroe-grey-r00335;Glasseslit;R00335
true;Eyeglasses;USD;true;This classic browline frame has a sleek, metal rim with oval lenses. The wide lightweight browline frame features a glossy finish as well as adjustable nose pads, providing a comfortable wear all day long.;2854;0.00;true;1727612335;Barrie Oval Browline Eyeglasses;35.95;silver,tortoiseshell;false;https://www.glasseslit.com/Public/img/products/J00390/C2_0.jpg;1;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fbarrie-tortoiseshell-j00390;Glasseslit;J00390
true;Eyeglasses;USD;true;Our hand-polished ultra-thin frames are designed for all-day comfort and style. These oval glasses have beautiful and colorful look. The lightweight will give you a relaxed feeling. Spring hinges provide added comfort.;3360;0.00;true;1727612335;Morgane Spring Hinge Oval Eyeglasses;35.95;purple;false;https://www.glasseslit.com/Public/img/products/200291/C4_0.jpg;1;false;;https://codeaven.com/g/mmjnepjawo1e88db6f11de0721ef8d/?f_id=17760&ulp=https%3A%2F%2Fwww.glasseslit.com%2Fproinfo%2Fmorgane-purple-200291;Glasseslit;200291
