available;categoryId;currencyId;description;id;modified_time;name;picture;price;shippingPrice;type;url;vendor
true;WOMEN'S;USD;women's,dual-purpose multifunctional wide belt;SP240819NS40;1727774843;Dual-purpose Multifunctional Wide Belt;https://ups.tujucdn.com/s19879/goods/19954/-2uca7a972411fb4b58aaaf6e3feae3d301.jpg@!h900-w900;37.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fdual-purpose-multifunctional-wide-belt-7730593.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Hoodies&Sweatshirts;USD;hoodies&sweatshirts,unisex football racing print black oversized hoodie;SP240918J4IR;1727774843;Unisex Football Racing Print Black Oversized Hoodie;https://ups.tujucdn.com/s24748/goods/19996/1677ua93e3a680e00475fafc1e9a6d22e9406.png@!h900-w900;29.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Funisex-football-racing-print-black-oversized-hoodie-7743174.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Hoodies&Sweatshirts;USD;hoodies&sweatshirts,unisex football racing print black oversized hoodie;SP240918NGC6;1727774843;Unisex Football Racing Print Black Oversized Hoodie;https://ups.tujucdn.com/s24748/goods/19996/1677u82121497ebe84195a0b40ef13c2b3e3a.png@!h900-w900;29.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Funisex-football-racing-print-black-oversized-hoodie-7743163.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Jackets&Coats;USD;jackets&coats,men's vintage suede patchwork lamb fleece multi-pocket reverse collar outdoor jacket coat;SP240918JBB5;1727774843;Men's Vintage Suede Patchwork Lamb Fleece Multi-Pocket Reverse Collar Outdoor Jacket Coat;https://ups.tujucdn.com/s30885/goods/19996/1677u1efad3c2d01f497e96f597118fe63004.png@!h900-w900;65.89;19.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmen-s-vintage-suede-patchwork-lamb-fleece-multi-pocket-reverse-collar-outdoor-jacket-coat-7743152.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Cargo Pants;USD;cargo pants,vintage outdoor men's corduroy overalls trousers;SP240924KESK;1727774843;Vintage Outdoor Men's Corduroy Overalls Trousers;https://ups.tujucdn.com/s60073/goods/19990/-2ue729469309a44c8ca91b542ca2cdc6c9.jpg@!h900-w900;36.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fvintage-outdoor-men-s-corduroy-overalls-trousers-7746926.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Vests;USD;vests,men's vintage suede patchwork lamb velvet multi-pocket outdoor motorcycle vest;SP240929RT6S;1727774843;Men's Vintage Suede Patchwork Lamb Velvet Multi-Pocket Outdoor Motorcycle Vest;https://ups.tujucdn.com/s60073/goods/19996/1677u2c6df391b2f54c17ae80f56228b1718e.png@!h900-w900;55.89;17.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-vintage-suede-patchwork-lamb-velvet-multi-pocket-outdoor-motorcycle-vest-7747418.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Women's Tops;USD;women's tops,women's vintage flower print fur splicing long penny lane jacket afghan coat;SP240929OCWP;1727774843;Women's Vintage Flower Print Fur Splicing Long Penny Lane Jacket Afghan Coat;https://ups.tujucdn.com/s30885/goods/19996/1525uf877bf8bc7924fed8e91c6b7b290b735.jpg@!h900-w900;69.89;19.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fwomens-vintage-flower-print-fur-splicing-long-penny-lane-jacket-afghan-coat-7747415.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Women's Tops;USD;women's tops,women's vintage ethnic paisley print fur splicing long penny lane jacket afghan coat;SP24092912SF;1727774843;Women's Vintage Ethnic Paisley Print Fur Splicing Long Penny Lane Jacket Afghan Coat;https://ups.tujucdn.com/s30885/goods/19996/1525u09d2bd9f57ea4621a6e7bd0cd1ad99f1.jpg@!h900-w900;69.89;19.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fwomens-vintage-ethnic-paisley-print-fur-splicing-long-penny-lane-jacket-afghan-coat-7747412.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Jackets&Coats;USD;jackets&coats,men's outdoor vintage sheepskin collar pockets lamb wool splicing flight bomber wool-lined jacket;SP2409291G03;1727774843;Men's Outdoor Vintage Sheepskin Collar Pockets Lamb Wool Splicing Flight Bomber Wool-lined Jacket;https://ups.tujucdn.com/s60073/goods/19996/-2uae2d8b9a46fe4e1082ce98ff1c2457bb.png@!h900-w900;70.89;19.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fmens-outdoor-vintage-sheepskin-collar-pockets-lamb-wool-splicing-flight-bomber-wool-lined-jacket-7747399.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
true;Women's Tops;USD;women's tops,women's vintage ethnic geometric print fur splicing mid-length penny lane jacket afghan coat;SP240929NI58;1727774843;Women's Vintage Ethnic Geometric Print Fur Splicing Mid-Length Penny Lane Jacket Afghan Coat;https://ups.tujucdn.com/s30885/goods/19996/1525u19a6940f03d440629afc27c5c261dc2c.png@!h900-w900;66.89;19.89;;https://zallj.com/g/gfhc91n9bb1e88db6f111d81d40fc4/?f_id=21839&ulp=https%3A%2F%2Fwww.wayrates.com%2Fproducts%2Fwomens-vintage-ethnic-geometric-print-fur-splicing-mid-length-penny-lane-jacket-afghan-coat-7747410.html%3Flocale%3Den%26ccy%3DUSD%26monitor%3DUS;WAYRATES
